Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
4711,0,<5,140,<5,40,<5,12,0,23,66,45,61,13,27,<5,6,0,191,8,<5,0,0,0,0,0,<5,6
4712,<5,<5,39,0,5,0,<5,0,7,23,19,27,<5,13,<5,<5,0,58,15,0,0,0,0,0,0,<5,0
4713,13,61,30,0,23,<5,18,0,54,163,160,286,14,217,10,93,0,240,0,0,0,0,0,0,0,53,0
4714,6,34,586,<5,183,<5,99,0,318,256,228,310,29,289,21,76,<5,"1,220",10,<5,0,0,0,<5,5,34,10
4715,<5,8,518,<5,127,<5,32,0,161,354,283,366,40,223,20,81,0,862,92,0,0,0,0,0,<5,30,5
4716,0,0,82,0,14,0,5,0,16,41,27,46,<5,30,5,7,0,118,18,0,0,<5,0,0,0,<5,<5
4717,<5,10,85,<5,68,<5,19,0,66,211,190,217,14,144,13,71,0,295,5,0,0,<5,0,0,0,26,<5
4718,0,5,114,<5,49,<5,23,0,43,137,111,107,9,67,7,25,0,230,25,0,0,0,0,0,0,12,<5
4719,0,<5,103,0,16,<5,6,0,28,55,40,49,<5,24,6,9,<5,154,25,<5,0,0,0,0,0,<5,<5
4720,<5,13,475,6,181,8,54,0,168,856,693,632,70,326,48,218,0,"1,053",49,<5,0,<5,0,<5,0,73,16
4721,0,<5,227,<5,39,<5,16,<5,40,187,134,122,19,74,<5,36,<5,351,47,0,0,0,0,<5,0,7,<5
4722,<5,<5,116,0,15,0,8,0,18,84,60,37,6,20,0,6,<5,158,27,<5,0,0,0,0,0,<5,<5
4723,<5,<5,70,0,20,<5,6,0,17,90,74,56,6,37,6,23,<5,134,17,0,0,0,0,0,0,<5,<5
4724,0,<5,47,0,7,0,0,0,13,33,19,28,<5,6,<5,<5,0,63,9,0,0,0,0,0,0,<5,<5
